"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_asco","copies_basid","copies_ecto","copies_whiterot","copies_sap_whiterot","copies_sap_other","copies_mycena_clavicularis"
"145","S303","TE8Litter5A",303,"TE",0,0,8,"Litter","6/16/17","11/21/17","blue","A",5,1.198,1.395,0.197,1.142,0.945,0.253,21.12,78.88,"84",827000099,23,35295,95,1,"nothing","Jadraas_org_bags1 gITS7_tag_95_ITS4_tag_95",824638037.166667,52398412,744708252.166667,0,0,40238161,722969653.166667,40238161
"146","S309","E6Litter5B",309,"E",0,1,6,"Litter","6/14/18","11/15/18","blue","B",5,1.7447,1.9544,0.2097,1.6041,1.3944,0.3503,20.08,79.92,"318",139322620,20,6989,97,4,"nothing","Jadraas_org_bags4 gITS7_tag_97_ITS4_tag_97",133985055.666667,96224170.5,30970872.8333333,0,0,8637487.5,66512069.5,7240781
"147","S311","DC6Litter5B",311,"DC",1,0,6,"Litter","6/14/18","11/15/18","blue","B",5,1.3994,1.5905,0.1911,1.2277,1.0366,0.3628,25.93,74.07,"319",548698429,29,18875,98,4,"nothing","Jadraas_org_bags4 gITS7_tag_98_ITS4_tag_98",544592738.833333,434404506.5,44396428.1666667,0,0,3199407,174705664.5,2132938
"148","S313","DC2Litter5B",313,"DC",1,0,2,"Litter","6/14/18","11/15/18","blue","B",5,1.5435,1.743,0.1995,1.3502,1.1507,0.3928,25.45,74.55,"320",390583902,28,13831,99,4,"nothing","Jadraas_org_bags4 gITS7_tag_99_ITS4_tag_99",388590273.5,191108388.166667,149043798.666667,0,0,1160788.83333333,268906132.166667,234502.833333333
"149","S315","DC4Litter5B",315,"DC",1,0,4,"Litter","6/14/18","11/15/18","blue","B",5,1.4735,1.6769,0.2034,1.3738,1.1704,0.3031,20.57,79.43,"321",362005400,28,13000,100,4,"nothing","Jadraas_org_bags4 gITS7_tag_100_ITS4_tag_100",356657181.833333,232811456.666667,111134115.833333,0,0,76993347.5,199656091.5,70709479.5
"150","S317","C4Litter5B",317,"C",1,1,4,"Litter","6/14/18","11/15/18","blue","B",5,1.8111,2.0152,0.2041,1.591,1.3869,0.4242,23.42,76.58,"322",414682289,26,15732,101,4,"nothing","Jadraas_org_bags4 gITS7_tag_101_ITS4_tag_101",408909167.5,350354822.833333,24691800.1666667,0,0,3928076,169067300.833333,1113632.83333333
"151","S319","TE1Litter5B",319,"TE",0,0,1,"Litter","6/14/18","11/15/18","blue","B",5,1.5265,1.7664,0.2399,1.3425,1.1026,0.4239,27.77,72.23,"323",938706661,35,26576,104,4,"nothing","Jadraas_org_bags4 gITS7_tag_104_ITS4_tag_104",920744191,657863403.333333,244485879,0,0,44444388.8333333,440366521.333333,30485737
"152","S323","C5Litter5B",323,"C",1,1,5,"Litter","6/14/18","11/15/18","blue","B",5,1.594,1.7739,0.1799,1.384,1.2041,0.3899,24.46,75.54,"324",236313739,23,10133,105,4,"nothing","Jadraas_org_bags4 gITS7_tag_105_ITS4_tag_105",232876671.166667,154840494.666667,70711735.6666667,0,0,5460636,181399414.166667,5460636
"153","S326","T6Litter5B",326,"T",1,0,6,"Litter","6/14/18","11/15/18","blue","B",5,1.4424,1.6406,0.1982,1.0571,0.8589,0.5835,40.45,59.55,"325",215934916,27,7929,106,4,"nothing","Jadraas_org_bags4 gITS7_tag_106_ITS4_tag_106",212089305,182745525.166667,13867373.8333333,0,0,492221.833333333,78508549.6666667,0
"154","S329","T3Litter5B",329,"T",1,0,3,"Litter","6/14/18","11/15/18","blue","B",5,1.7272,1.9281,0.2009,1.4764,1.2755,0.4517,26.15,73.85,"326",333872077,36,9219,107,4,"nothing","Jadraas_org_bags4 gITS7_tag_107_ITS4_tag_107",329991522,277852049.333333,43459962.5,0,0,24328977.3333333,200046220.5,21912157
"155","S331","E3Litter17A",331,"E",0,1,3,"Litter","6/16/17","11/21/18","green","A",17,1.581,1.764,0.183,1.1428,0.9598,0.6212,39.29,60.71,"137",3967629197,117,33974,108,2,"nothing","Jadraas_org_bags2 gITS7_tag_108_ITS4_tag_108",3944751949.33333,3501044893.33333,345571985.333333,0,0,34607335,3012589990.33333,24428707
"156","S333","TE6Litter5B",333,"TE",0,0,6,"Litter","6/14/18","11/15/18","blue","B",5,1.5382,1.7479,0.2097,1.3667,1.157,0.3812,24.78,75.22,"327",762879364,39,19786,108,4,"nothing","Jadraas_org_bags4 gITS7_tag_108_ITS4_tag_108",755643191.833333,416591458.666667,314002063.666667,0,0,10546037,462877632.833333,9280897
"157","S334","T7Litter5B",334,"T",1,0,7,"Litter","6/14/18","11/15/18","blue","B",5,1.515,1.7307,0.2157,1.2992,1.0835,0.4315,28.48,71.52,"328",59638369,14,4172,109,4,"nothing","Jadraas_org_bags4 gITS7_tag_109_ITS4_tag_109",57456117,34817325.8333333,15676974.6666667,0,0,131018.5,28361710.8333333,0
"158","S335","E1Litter5A",335,"E",0,1,1,"Litter","6/16/17","11/21/17","blue","A",5,1.227,1.409,0.182,1.1069,0.9249,0.3021,24.62,75.38,"47",1311590773,42,30996,112,1,"brokenseal","Jadraas_org_bags1 gITS7_tag_112_ITS4_tag_112",1304971690.83333,400086523.333333,848360537,0,0,404167160,738467835,23429980
"159","S336","TE4Litter5B",336,"TE",0,0,4,"Litter","6/14/18","11/15/18","blue","B",5,1.6763,1.9091,0.2328,1.5824,1.3496,0.3267,19.49,80.51,"329",174011839,20,8876,112,4,"nothing","Jadraas_org_bags4 gITS7_tag_112_ITS4_tag_112",171216813.5,88153021,77761321.5,0,0,2120249,114618689.833333,1665910
"160","S341","TELitter5A",341,"TE",0,0,3,"Litter","6/16/17","11/21/17","blue","A",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,0,0,NA,NA,NA
