"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_ecto","copies_ericoid","copies_saprotrophs","copies_molds_yeasts","copies_otherrootfungi","copies_archies","copies_sap_whiterot","copies_ecto_whiterot","copies_sap_other","copies_moulds_yeasts","copies_other_root","copies_ericoid_ecto","copies_whiterot","copies_cortinarius"
"57","S75","C8Humus17B",75,"C",1,1,8,"Humus","6/14/18","11/20/19","green","B",17,2.5202,2.7832,0.263,2.22,1.957,0.5632,22.35,77.65,"184",5932406983,131,45456,23,3,"nothing","Jadraas_org_bags3 gITS7_tag_23_ITS4_tag_23",5786644057.66667,1785345703.5,125868756.5,404104053.166667,2712801043.83333,344483710,284861530,380919488,33123434,23184565.1666667,2712801043.83333,344483710,344483711,414042922,0
"58","S77","T4Humus5A",77,"T",1,0,4,"Humus","6/16/17","11/21/17","blue","A",5,2.57,2.903,0.333,2.7374,2.4044,0.1656,6.44,93.56,"21",72167378,11,6500,24,1,"nothing","Jadraas_org_bags1 gITS7_tag_24_ITS4_tag_24",71595896,0,2139614,445752,66657187.1666667,1067968.16666667,0,0,0,445752,66657187.1666667,1067968.16666667,713204,0,0
"59","S78","DC6Humus17A",78,"DC",1,0,6,"Humus","6/16/17","11/21/18","green","A",17,2.7418,3.002,0.2602,2.2337,1.9735,0.7683,28.02,71.98,"111",870707519,55,15771,24,2,"nothing","Jadraas_org_bags2 gITS7_tag_24_ITS4_tag_24",866740834.833333,0,7059498.5,65106958,767935303.5,3922106,0,784421,0,64322537,767935303.5,3922106,10168069.6666667,784421,0
"60","S79","TE5Humus17B",79,"TE",0,0,5,"Humus","6/14/18","11/20/19","green","B",17,2.5142,2.7441,0.2299,2.05,1.8201,0.6941,27.61,72.39,"185",919743988,170,5397,24,3,"nothing","Jadraas_org_bags3 gITS7_tag_24_ITS4_tag_24",915557221.5,677278,16928689,67023485.5,619624164.333333,8127340,0,47382705,677278,19640780.5,619624164.333333,8127340,162546802,48059983,677278
"61","S81","TE4Humus5A",81,"TE",0,0,4,"Humus","6/16/17","11/21/17","blue","A",5,2.644,2.976,0.332,2.8138,2.4818,0.1622,6.13,93.87,"23",49883662,12,4306,25,1,"nothing","Jadraas_org_bags1 gITS7_tag_25_ITS4_tag_25",49783853.1666667,0,365180,1095541,45839908.5,1631139,97381,24345,0,1071196,45839908.5,1631139,511252,24345,0
"62","S82","E6Humus17A",82,"E",0,1,6,"Humus","6/16/17","11/21/18","green","A",17,2.9129,3.1631,0.2502,2.4913,2.2411,0.6718,23.06,76.94,"112",584942195,35,16768,25,2,"nothing","Jadraas_org_bags2 gITS7_tag_25_ITS4_tag_25",584469356.5,2318775.66666667,15307766,10669049,527878469.5,11596499.1666667,927451.5,0,0,10669049,527878469.5,11596499.1666667,8813561,0,0
"63","S83","T3Humus17B",83,"T",1,0,3,"Humus","6/14/18","11/20/19","green","B",17,2.5674,2.8217,0.2543,2.15,1.8957,0.6717,26.16,73.84,"186",1046624572,119,8830,25,3,"nothing","Jadraas_org_bags3 gITS7_tag_25_ITS4_tag_25",987128827.333333,0,66993073.1666667,24605108.8333333,761546842.333333,23925859.6666667,0,10254323,0,14350785.8333333,761546842.333333,23925859.6666667,84769072,10254323,0
"64","S85","T6Humus17A",85,"T",1,0,6,"Humus","6/16/17","11/21/18","green","A",17,2.9286,3.1777,0.2491,2.63776,2.38866,0.53994,18.44,81.56,"113",859128219,44,19401,26,2,"nothing","Jadraas_org_bags2 gITS7_tag_26_ITS4_tag_26",841022767,0,19712019.5,1642692,806558740.166667,4074507.33333333,1610468.33333333,0,0,1642692,806558740.166667,4074507.33333333,6570770,0,0
"65","S86","T4Humus17B",86,"T",1,0,4,"Humus","6/14/18","11/20/19","green","B",17,2.6066,2.8679,0.2613,2.19,1.9287,0.6779,26.01,73.99,"187",476789187,53,9055,26,3,"nothing","Jadraas_org_bags3 gITS7_tag_26_ITS4_tag_26",431134840.666667,0,61721340.1666667,3576025.66666667,314849350.666667,12076273,2236347,1339678.66666667,0,2236347,314849350.666667,12076273,24599817,1339678.66666667,0
"66","S88","DC5Humus5A",88,"DC",1,0,5,"Humus","6/16/17","11/21/17","blue","A",5,2.975,3.283,0.308,2.5561,2.2481,0.7269,24.43,75.57,"25",203549,6,32,29,1,"nothing","Jadraas_org_bags1 gITS7_tag_29_ITS4_tag_29",198092.5,7864,1307.5,11730,173460,534,0,0,0,11730,173460,534,933,0,0
"67","S89","C7Humus17A",89,"C",1,1,7,"Humus","6/16/17","11/21/18","green","A",17,2.5861,2.8454,0.2593,3.0152,2.7559,0.1698,-6.57,106.57,"115",909105185,32,28411,29,2,"nothing","Jadraas_org_bags2 gITS7_tag_29_ITS4_tag_29",802243138,7935411,8826263,1765253,659267368.666667,89145266,40600814,0,882626,1765253,659267368.666667,89145266,31773655.6666667,882626,882626
"68","S90","E1Humus17B",90,"E",0,1,1,"Humus","6/14/18","11/20/19","green","B",17,2.7681,3.0329,0.2648,2.26,1.9952,0.7729,27.92,72.08,"188",5691724287,78,72617,29,3,"nothing","Jadraas_org_bags3 gITS7_tag_29_ITS4_tag_29",5676584700.66667,2968135918,62335650,42411655.1666667,1769371010.83333,441144596,369218846,14385150,580201044,28026505.1666667,1769371010.83333,441144596,292498046.666667,594586194,580201044
"69","S92","E5Humus5A",92,"E",0,1,5,"Humus","6/16/17","11/21/17","blue","A",5,2.686,3.031,0.345,2.6167,2.2717,0.4143,15.42,84.58,"26",217025572,28,7727,31,1,"nothing","Jadraas_org_bags1 gITS7_tag_31_ITS4_tag_31",216139141.333333,2644825.5,2897034,37408619.6666667,167646510.166667,881706,125958,251916,0,37156703.6666667,167646510.166667,881706,1133622,251916,0
"70","S93","DC7Humus17A",93,"DC",1,0,7,"Humus","6/16/17","11/21/18","green","A",17,2.956,3.2075,0.2515,2.7144,2.4629,0.4931,16.68,83.32,"116",389399910,22,17762,31,2,"nothing","Jadraas_org_bags2 gITS7_tag_31_ITS4_tag_31",385051041,287805,3163792.83333333,7195120,358003705,5756096,0,0,0,7195120,358003705,5756096,7481088.16666667,0,0
"71","S94","T6Humus17B",94,"T",1,0,6,"Humus","6/14/18","11/20/19","green","B",17,2.9286,3.1777,0.2491,2.42,2.1709,0.7577,25.87,74.13,"189",1620387039,119,13590,31,3,"nothing","Jadraas_org_bags3 gITS7_tag_31_ITS4_tag_31",1580421865,1139056.83333333,179153631.166667,11402998.1666667,1230115954.83333,23963471,14834530,4561737.83333333,1139056.83333333,6841260.33333333,1230115954.83333,23963471,93568350.8333333,5700794.66666667,0
"72","S96","T5Humus5A",96,"T",1,0,5,"Humus","6/16/17","11/21/17","blue","A",5,2.932,3.24,0.308,3.0832,2.7752,0.1568,5.35,94.65,"27",434834125,22,19581,32,1,"nothing","Jadraas_org_bags1 gITS7_tag_32_ITS4_tag_32",433547969.166667,0,1407444.5,1093067.16666667,416504347,8602834,1094906,469245,0,623822.166666667,416504347,8602834,2033397,469245,0
"73","S97","E7Humus17A",97,"E",0,1,7,"Humus","6/16/17","11/21/18","green","A",17,2.6779,2.9261,0.2482,2.3591,2.1109,0.567,21.17,78.83,"117",488677139,16,30051,32,2,"nothing","Jadraas_org_bags2 gITS7_tag_32_ITS4_tag_32",488360137,4227311,4509132,44809495,408914055,7045518,0,0,1409104,44809495,408914055,7045518,15191246.5,1409104,1409104
"74","S98","TE7Humus17B",98,"TE",0,0,7,"Humus","6/14/18","11/20/19","green","B",17,2.5759,2.8203,0.2444,2.13,1.8856,0.6903,26.8,73.2,"190",1190166072,181,6558,32,3,"nothing","Jadraas_org_bags3 gITS7_tag_32_ITS4_tag_32",1187712723.33333,0,13210722,100276846.833333,889891449.666667,24619984.6666667,0,8404985.83333333,0,91871861,889891449.666667,24619984.6666667,90073114,8404985.83333333,0
"75","S100","TE5Humus5A",100,"TE",0,0,5,"Humus","6/16/17","11/21/17","blue","A",5,2.887,3.202,0.315,3.0187,2.7037,0.1833,6.35,93.65,"28",61730012,13,4861,34,1,"nothing","Jadraas_org_bags1 gITS7_tag_34_ITS4_tag_34",60943103.5,0,430857,626701,56246212.3333333,430857,156675,352519,0,274182,56246212.3333333,430857,2544665.66666667,352519,0
"76","S101","T7Humus17A",101,"T",1,0,7,"Humus","6/16/17","11/21/18","green","A",17,2.6099,2.8599,0.25,3.0165,2.7665,0.1566,-6,106,"118",714194394,42,17090,34,2,"nothing","Jadraas_org_bags2 gITS7_tag_34_ITS4_tag_34",678658278.833333,525916,22088485,8414660.66666667,581367727.333333,34706511.8333333,0,0,0,8414660.66666667,581367727.333333,34706511.8333333,22088485,0,0
"77","S102","TE8Humus17B",102,"TE",0,0,8,"Humus","6/14/18","11/20/19","green","B",17,3.0421,3.2856,0.2435,2.47,2.2265,0.8156,26.81,73.19,"191",802717504,149,5398,34,3,"nothing","Jadraas_org_bags3 gITS7_tag_34_ITS4_tag_34",800037156.5,0,107172979.166667,22308088,579162273.666667,30181194.8333333,0,13560895,0,8747193,579162273.666667,30181194.8333333,31494211.5,13560895,0
"78","S104","C6Humus5A",104,"C",1,1,6,"Humus","6/16/17","11/21/17","blue","A",5,2.876,3.212,0.336,2.8107,2.4747,0.4013,13.95,86.05,"29",53708406,12,4619,35,1,"nothing","Jadraas_org_bags1 gITS7_tag_35_ITS4_tag_35",52903424.8333333,1330263.16666667,1023504,229103.166666667,47994210.1666667,946450.166666667,0,25588,102350,203515.166666667,47994210.1666667,946450.166666667,1098429.16666667,127938,102350
"79","S105","TE7Humus17A",105,"TE",0,0,7,"Humus","6/16/17","11/21/18","green","A",17,2.5759,2.8203,0.2444,2.8936,2.6492,0.0733,-2.85,102.85,"119",633809487,53,11884,35,2,"nothing","Jadraas_org_bags2 gITS7_tag_35_ITS4_tag_35",633356292.5,0,3176990,11516587,586100047.166667,10325217,397124,794247,0,10722340,586100047.166667,10325217,15884658.5,794247,0
"80","S106","E8Humus17B",106,"E",0,1,8,"Humus","6/14/18","11/20/19","green","B",17,2.7884,3.0337,0.2453,2.39,2.1447,0.6437,23.08,76.92,"192",3601133271,106,34041,35,3,"nothing","Jadraas_org_bags3 gITS7_tag_35_ITS4_tag_35",3601093740.83333,1575991405.83333,18603641,140854007.666667,1671663398.83333,42522608,15945978,90358703.1666667,233874338,50495304.5,1671663398.83333,42522608,114279506,324233041.166667,233874338
"81","S108","E6Humus5A",108,"E",0,1,6,"Humus","6/16/17","11/21/17","blue","A",5,2.537,2.872,0.335,2.7399,2.4049,0.1321,5.21,94.79,"31",151424499,12,12133,37,1,"smallholeinbag","Jadraas_org_bags1 gITS7_tag_37_ITS4_tag_37",151282633.833333,246519,1355856,4375719,143148078.166667,739266.166666667,184889,493039,61630,3882680,143148078.166667,739266.166666667,431409,554669,61630
"82","S109","DC8Humus17A",109,"DC",1,0,8,"Humus","6/16/17","11/21/18","green","A",17,2.6949,2.9591,0.2642,2.6893,2.4251,0.2698,10.01,89.99,"121",509779709,28,18365,37,2,"nothing","Jadraas_org_bags2 gITS7_tag_37_ITS4_tag_37",506067568.833333,0,3423254,10269763,478399289.166667,4278172.33333333,0,0,0,10269763,478399289.166667,4278172.33333333,6561239,0,0
"83","S110","T7Humus17B",110,"T",1,0,7,"Humus","6/14/18","11/20/19","green","B",17,2.6099,2.8599,0.25,2.19,1.94,0.6699,25.67,74.33,"193",2298502913,120,19200,37,3,"nothing","Jadraas_org_bags3 gITS7_tag_37_ITS4_tag_37",2171042620.5,0,426757287.166667,54900912.6666667,1392405427.83333,126030832,61143671,11228699.5,0,43672213.1666667,1392405427.83333,126030832,67378852.8333333,11228699.5,0
"84","S112","T6Humus5A",112,"T",1,0,6,"Humus","6/16/17","11/21/17","blue","A",5,2.925,3.238,0.313,3.0167,2.7037,0.2213,7.57,92.43,"32",196463263,26,7453,38,1,"nothing","Jadraas_org_bags1 gITS7_tag_38_ITS4_tag_38",195104412.666667,0,1935258.5,1685928.83333333,188864682.5,656440,375109,562663,0,1123265.83333333,188864682.5,656440,935038.833333333,562663,0
"85","S113","E8Humus17A",113,"E",0,1,8,"Humus","6/16/17","11/21/18","green","A",17,2.7884,3.0337,0.2453,2.4126,2.1673,0.6211,22.27,77.73,"122",557684408,32,17597,38,2,"smallholeinbag","Jadraas_org_bags2 gITS7_tag_38_ITS4_tag_38",557305638,7869825,6081228,13951053,506882527.833333,10728282.8333333,3216177.83333333,0,2861755,13951053,506882527.833333,10728282.8333333,3577193,2861755,1073158
