"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_ecto","copies_ericoid","copies_saprotrophs","copies_molds_yeasts","copies_otherrootfungi","copies_archies","copies_sap_whiterot","copies_ecto_whiterot","copies_sap_other","copies_moulds_yeasts","copies_other_root","copies_ericoid_ecto","copies_whiterot","copies_cortinarius"
"151","S320","DC1Humus17A",320,"DC",1,0,1,"Humus","6/16/17","11/21/18","green","A",17,2.7885,3.043,0.2545,2.7855,2.531,0.2575,9.23,90.77,"87",132803541,19,7140,105,1,"nothing","Jadraas_org_bags1 gITS7_tag_105_ITS4_tag_105",130219210.333333,0,1704394,894016.666666667,114507401.666667,9635039,7965430,0,0,894016.666666667,114507401.666667,9635039,2852250,0,0
"152","S321","TE6Humus17A",321,"TE",0,0,6,"Humus","6/16/17","11/21/18","green","A",17,2.5503,2.8119,0.2616,2.8878,2.6262,0.0759,-2.98,102.98,"114",453156587,59,7739,105,2,"nothing","Jadraas_org_bags2 gITS7_tag_105_ITS4_tag_105",452743323.666667,205606,2055480.16666667,8635469,395997412.166667,26112016.6666667,205606,1233638,205606,7401831,395997412.166667,26112016.6666667,10896557.1666667,1439244,205606
"153","S324","E1Humus17A",324,"E",0,1,1,"Humus","6/16/17","11/21/18","green","A",17,2.7681,3.0329,0.2648,2.4009,2.1361,0.632,22.83,77.17,"88",576381405,24,24327,106,1,"orange","Jadraas_org_bags1 gITS7_tag_106_ITS4_tag_106",575111362.666667,9964305.83333333,2805629,8767591,534814216.5,10871812,0,0,0,8767591,534814216.5,10871812,3855903.16666667,0,0
"154","S327","T1Humus17A",327,"T",1,0,1,"Humus","6/16/17","11/21/18","green","A",17,2.8266,3.0904,0.2638,2.7678,2.504,0.3226,11.41,88.59,"89",347768216,67,5227,107,1,"nothing","Jadraas_org_bags1 gITS7_tag_107_ITS4_tag_107",343390802.833333,0,6034884,9249838,312695623.5,1540473.33333333,128470,3083279,0,6166559,312695623.5,1540473.33333333,9378308,3083279,0
"155","S328","C8Humus17A",328,"C",1,1,8,"Humus","6/16/17","11/21/18","green","A",17,2.5202,2.7832,0.263,2.7209,2.4579,0.0623,2.47,97.53,"120",827124400,42,19648,107,2,"nothing","Jadraas_org_bags2 gITS7_tag_107_ITS4_tag_107",780705537.333333,46789886,9810782,4526215.16666667,657697006.333333,37733777.6666667,15470848.6666667,1132013,42639170,3394202.16666667,657697006.333333,37733777.6666667,22262637.5,43771183,41884494
"156","S330","TE1Humus17A",330,"TE",0,0,1,"Humus","6/16/17","11/21/18","green","A",17,3.086,3.348,0.262,2.9179,2.6559,0.4301,13.94,86.06,"90",267872473,30,8874,108,1,"nothing","Jadraas_org_bags1 gITS7_tag_108_ITS4_tag_108",267863787.333333,0,4145699,15076021,224283111,6115968.16666667,655479,218493,0,14857528,224283111,6115968.16666667,11251205.1666667,218493,0
"157","S337","C5Humus5A",337,"C",1,1,5,"Humus","6/16/17","11/21/17","blue","A",5,2.575,2.883,0.308,2.5717,2.2637,0.3113,12.09,87.91,"24",45847985,11,4073,113,1,"nothing","Jadraas_org_bags1 gITS7_tag_113_ITS4_tag_113",45441537,482197,1527791,870983,39522585.1666667,1442119,114227,28556,14278,842427,39522585.1666667,1442119,399796,42834,14278
"158","S338","DC6Humus5A",338,"DC",1,0,6,"Humus","6/16/17","11/21/17","blue","A",5,2.756,3.102,0.346,2.4978,2.1518,0.6042,21.92,78.08,"30",101834622,22,4673,114,1,"nothing","Jadraas_org_bags1 gITS7_tag_114_ITS4_tag_114",101039239,1724356,2114776,15258924.6666667,77270679.6666667,618165,0,0,0,15258924.6666667,77270679.6666667,618165,2212090.5,0,0
"159","S339","E4Humus5B",339,"E",0,1,4,"Humus","6/14/18","11/15/18","blue","B",5,3.2451,3.5199,0.2748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sampleverybroken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","S340","E3Humus17A",340,"E",0,1,3,"Humus","6/16/17","11/21/18","green","A",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"missingfromfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
