scata	Taxon	Sci_Name	Rank	mock	Kingdom	Phylum	Subphylum	Class	Order	Family	Genus	Species	abbrev	taxon_notes	guild	emf	primary_lifestyle_phylum	Decay_type	Decay_Lifestyle	guild_notes	reference
scata4703_704	Hydnodontaceae_sp	Hydnodontaceae_sp	782	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes			Hydnodontaceae				saprotrophs other	0	litter saprotrophic basidiomycota	other	unknown_basidiomycetes		
scata4703_707			783	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_713			784	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_719			785	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_727			786	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_732			787	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_734			788	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_735	Ascomycota_sp	Ascomycota_sp	789	FALSE	Fungi	Ascomycota									unknown	0	unknown	other	unknown_ascomycetes		
scata4703_743			790	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_744			791	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_746			792	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_748			793	FALSE	Plantae										unknown	0	unknown	other	unknown		
scata4703_751	Vaccinium_sp	Vaccinium_sp	794	FALSE	Plantae						Vaccinium				plants	0	plants 	other			
scata4703_755			795	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_759			796	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_761			797	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_762			798	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_763	Sordariales_sp	Sordariales_sp	799	FALSE	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes							unknown	0	unknown	other	unknown_ascomycetes		
scata4703_765	Cortinarius_kauffmanianus	Cortinarius_kauffmanianus	800	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	kauffmanianus			ectomycorrhizas white rot	1	ectomycorrhizal basidiomycota	white rot	white_rot_ectomycorrhizal_basidiomycetes		
scata4703_772	Fungi_sp	Fungi_sp	801	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_780	Fungi_sp	Fungi_sp	802	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_786	Fungi_sp	Fungi_sp	803	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_791	Fungi_sp	Fungi_sp	804	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_793	Rozellomycota_sp	Rozellomycota_sp	805	FALSE	Fungi	Rozellomycota									unknown	0	unknown	other	unknown_Rozellomycota		
scata4703_794			806	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_797	Vaccinium	Vaccinium	807	FALSE	Plantae						Vaccinium				plants	0	plants 	other			
